"city","industry","average_salary"
" Berkley Heights ","Recruitment or HR","90000.000000000000"
" Boston ","Government Relation","68000.000000000000"
" Byron Bay","Education (Primary/Secondary)","78000.000000000000"
" Charlottesville","Accounting, Banking & Finance","87000.000000000000"
" Chicago","Accounting, Banking & Finance","130000.000000000000"
" Chicago","Insurance","66100.000000000000"
" Chicago ","Computing or Tech","186000.000000000000"
" Los Angeles","Retail","87000.000000000000"
" Rural Florida Panhandle","Education (Higher Education)","33280.000000000000"
" Ventura ","Law","48800.000000000000"
